Block,ENMO
232,66.2082446644206
233,65.6501361977377
234,65.2781211000786
235,64.9626231414345
236,64.6829506510926
237,65.0367675264732
238,65.2056630503267
239,64.3004515604588
240,65.5151976306257
241,64.9072911856848
242,64.9723102677598
243,64.4143733452211
244,64.8206076919848
245,64.586797536677
246,64.7945242510446
247,64.7773980392088
248,64.2686900067901
249,63.804732483797
250,63.0081790637377
251,64.2247886532971
252,63.7490834067279
253,64.7180305064438
254,64.5524567690217
255,64.4210231613982
256,63.4498996253655
257,64.2630382976705
258,63.6777572740783
259,65.1983804383377
260,63.1589794965009
261,63.7021191006397
262,63.8596438060773
263,63.6830043478881
264,64.0891003483915
265,63.911782367714
266,64.7428323035598
267,63.551210700868
268,63.0081606547179
269,64.0466387007734
270,63.2916783031391
271,63.5467161447906
272,63.2568128828638
273,64.4803462632581
274,64.0084279866045
275,63.3282261380856
276,63.0532197097466
277,63.760094994484
278,64.181845543925
279,63.36888654196
280,64.476103744488
281,64.576006281888
282,64.0732355572112
283,64.3153684499424
284,63.6159368965622
285,63.2969372734351
286,64.4200013422505
287,63.7136076466305
288,63.3965517764835
289,64.034113160514
290,64.0475522535155
291,63.3358943158697
292,63.1944035410015
293,64.0721781070596
294,63.5656509023931
295,63.3708473458739
296,63.7274116119585
297,63.7665112571995
298,63.0428795397961
299,62.8881448221705
